name,productImage,productPrice,categoryId,userId
SuperSound Headset V1,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,6.14,2,2
SmartWear Watch V1,https://images.unsplash.com/photo-1627124765138-04f3f1724f94,6.29,3,3
GamerPro Keyboard V1,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef,6.44,4,4
UltraSpeed Mouse V1,https://images.unsplash.com/photo-1542291026-7eec264c27ff,6.59,5,1
ClearView Monitor V1,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9,6.74,6,2
BassBoost Speaker V1,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,6.89,1,3
EcoCharge Powerbank V1,https://images.unsplash.com/photo-1627124765138-04f3f1724f94,7.04,2,4
FlexStand Holder V1,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef,7.19,3,1
SecureLock Safe V1,https://images.unsplash.com/photo-1542291026-7eec264c27ff,7.34,4,2
NovaCam Camera V1,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9,7.49,5,3
LiteAir Fan V1,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,7.64,6,4
PureDrip Kettle V1,https://images.unsplash.com/photo-1627124765138-04f3f1724f94,7.79,1,1
ThermoCup Mug V1,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef,7.94,2,2
FitTrack Band V1,https://images.unsplash.com/photo-1542291026-7eec264c27ff,8.09,3,3
SafeGuard Router V1,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9,8.24,4,4
SpeedLink Cable V1,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,8.39,5,1
MegaStorage SSD V1,https://images.unsplash.com/photo-1627124765138-04f3f1724f94,8.54,6,2
TaskPro Laptop V1,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef,8.69,1,3
GigaPrint Printer V1,https://images.unsplash.com/photo-1542291026-7eec264c27ff,8.84,2,4
TechGlow Phone V2,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9,8.99,3,1
SuperSound Headset V2,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,9.14,4,2
SmartWear Watch V2,https://images.unsplash.com/photo-1627124765138-04f3f1724f94,9.29,5,3
GamerPro Keyboard V2,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef,9.44,6,4
UltraSpeed Mouse V2,https://images.unsplash.com/photo-1542291026-7eec264c27ff,9.59,1,1
